Month,Service Type,CBD Relation,Day Type,Time Period,Trips
05/01/2019,fhvhv,Leaving CBD,1,Overnight,699377
05/01/2019,fhvhv,Within CBD,1,Overnight,627757
05/01/2019,fhvhv,Within CBD,2,Overnight,381286
05/01/2019,fhvhv,Entering CBD,2,Overnight,211924
05/01/2019,fhvhv,Leaving CBD,2,Overnight,371463
05/01/2019,fhvhv,Leaving CBD,1,Peak,1207505
05/01/2019,fhvhv,Leaving CBD,2,Peak,348583
05/01/2019,fhvhv,Within CBD,2,Peak,670237
05/01/2019,fhvhv,Entering CBD,2,Peak,357639
05/01/2019,fhvhv,Entering CBD,1,Overnight,279494
05/01/2019,fhvhv,Within CBD,1,Peak,2140505
05/01/2019,fhvhv,Entering CBD,1,Peak,1113392
05/01/2019,fhvhv,CBD-Null,1,Peak,1
05/01/2019,yellow,Entering CBD,2,Peak,152892
05/01/2019,yellow,CBD-Null,1,Peak,8937
05/01/2019,yellow,Within CBD,2,Overnight,313396
05/01/2019,yellow,Within CBD,1,Overnight,553274
05/01/2019,yellow,CBD-Null,1,Overnight,2350
05/01/2019,yellow,Within CBD,1,Peak,1943407
05/01/2019,yellow,Leaving CBD,1,Overnight,296587
05/01/2019,yellow,Within CBD,2,Peak,513336
05/01/2019,yellow,Entering CBD,1,Peak,617200
05/01/2019,yellow,Leaving CBD,2,Overnight,135611
05/01/2019,yellow,CBD-Null,2,Overnight,1322
05/01/2019,yellow,Entering CBD,2,Overnight,51999
05/01/2019,yellow,Leaving CBD,2,Peak,160548
05/01/2019,yellow,Leaving CBD,1,Peak,645219
05/01/2019,yellow,CBD-Null,2,Peak,2148
05/01/2019,yellow,Entering CBD,1,Overnight,108875
05/01/2019,green,CBD-Null,1,Peak,6
05/01/2019,green,Entering CBD,1,Overnight,4349
05/01/2019,green,Entering CBD,2,Overnight,3753
05/01/2019,fhv,Within CBD,2,Peak,467
05/01/2019,fhv,CBD-Null,2,Overnight,58
05/01/2019,green,CBD-Null,1,Overnight,2
05/01/2019,fhv,Leaving CBD,1,Peak,25155
05/01/2019,green,Leaving CBD,1,Overnight,3
05/01/2019,fhv,Within CBD,1,Overnight,1783
05/01/2019,green,Leaving CBD,2,Overnight,3
05/01/2019,green,Leaving CBD,2,Peak,10
05/01/2019,fhv,Entering CBD,1,Peak,16147
05/01/2019,fhv,Entering CBD,1,Overnight,2534
05/01/2019,green,Within CBD,2,Peak,6
05/01/2019,fhv,CBD-Null,2,Peak,114
05/01/2019,fhv,Entering CBD,2,Overnight,952
05/01/2019,green,CBD-Null,2,Peak,2
05/01/2019,fhv,Leaving CBD,2,Overnight,1490
05/01/2019,fhv,Within CBD,1,Peak,7460
05/01/2019,green,Within CBD,1,Overnight,2
05/01/2019,fhv,CBD-Null,1,Overnight,892
05/01/2019,fhv,Leaving CBD,2,Peak,2088
05/01/2019,green,Leaving CBD,1,Peak,47
05/01/2019,fhv,Entering CBD,2,Peak,1887
05/01/2019,fhv,Within CBD,2,Overnight,204
05/01/2019,green,Within CBD,1,Peak,20
05/01/2019,fhv,CBD-Null,1,Peak,712
05/01/2019,fhv,Leaving CBD,1,Overnight,11180
05/01/2019,green,Entering CBD,2,Peak,6248
05/01/2019,green,Within CBD,2,Overnight,1
05/01/2019,green,Entering CBD,1,Peak,25765
06/01/2019,fhvhv,Leaving CBD,1,Peak,1003617
06/01/2019,fhvhv,Entering CBD,1,Overnight,239840
06/01/2019,fhvhv,Leaving CBD,1,Overnight,599354
06/01/2019,fhvhv,Leaving CBD,2,Overnight,453835
06/01/2019,fhvhv,Entering CBD,2,Overnight,261232
06/01/2019,fhvhv,Within CBD,2,Overnight,476596
06/01/2019,fhvhv,Entering CBD,1,Peak,941438
06/01/2019,fhvhv,Within CBD,1,Peak,1867935
06/01/2019,fhvhv,CBD-Null,1,Peak,54
06/01/2019,fhvhv,Leaving CBD,2,Peak,399408
06/01/2019,fhvhv,Entering CBD,2,Peak,407505
06/01/2019,fhvhv,Within CBD,2,Peak,724087
06/01/2019,fhvhv,Within CBD,1,Overnight,556572
06/01/2019,yellow,Entering CBD,2,Overnight,62933
06/01/2019,yellow,Entering CBD,2,Peak,169436
06/01/2019,yellow,CBD-Null,1,Peak,8392
06/01/2019,yellow,Leaving CBD,2,Overnight,168232
06/01/2019,yellow,Within CBD,2,Overnight,390718
06/01/2019,yellow,Entering CBD,1,Overnight,93789
06/01/2019,yellow,Within CBD,2,Peak,576302
06/01/2019,yellow,Entering CBD,1,Peak,524438
06/01/2019,yellow,Within CBD,1,Overnight,467512
06/01/2019,yellow,Leaving CBD,2,Peak,179864
06/01/2019,yellow,Leaving CBD,1,Overnight,251682
06/01/2019,yellow,CBD-Null,2,Peak,2548
06/01/2019,yellow,Leaving CBD,1,Peak,544533
06/01/2019,yellow,CBD-Null,1,Overnight,2114
06/01/2019,yellow,Within CBD,1,Peak,1667633
06/01/2019,yellow,CBD-Null,2,Overnight,1726
06/01/2019,green,Entering CBD,1,Overnight,4439
06/01/2019,fhv,CBD-Null,2,Peak,134
06/01/2019,fhv,Leaving CBD,2,Overnight,1816
06/01/2019,green,CBD-Null,2,Peak,1
06/01/2019,green,CBD-Null,1,Peak,8
06/01/2019,fhv,CBD-Null,2,Overnight,110
06/01/2019,fhv,Within CBD,2,Overnight,327
06/01/2019,green,Within CBD,1,Peak,46
06/01/2019,green,CBD-Null,1,Overnight,1
06/01/2019,green,Within CBD,2,Peak,5
06/01/2019,green,Entering CBD,1,Peak,21126
06/01/2019,green,Entering CBD,2,Peak,7280
06/01/2019,green,Leaving CBD,2,Peak,14
06/01/2019,fhv,Entering CBD,2,Peak,2411
06/01/2019,fhv,Leaving CBD,2,Peak,2601
06/01/2019,green,Leaving CBD,1,Peak,53
06/01/2019,green,Leaving CBD,1,Overnight,2
06/01/2019,fhv,Within CBD,2,Peak,530
06/01/2019,green,Within CBD,1,Overnight,3
06/01/2019,green,Within CBD,2,Overnight,1
06/01/2019,green,Entering CBD,2,Overnight,5348
06/01/2019,green,Leaving CBD,2,Overnight,2
06/01/2019,fhv,Entering CBD,2,Overnight,1236
06/01/2019,fhv,Leaving CBD,1,Peak,23108
06/01/2019,fhv,Within CBD,1,Overnight,1626
06/01/2019,fhv,Entering CBD,1,Peak,15609
06/01/2019,fhv,CBD-Null,1,Overnight,543
06/01/2019,fhv,Leaving CBD,1,Overnight,9385
06/01/2019,fhv,CBD-Null,1,Peak,690
06/01/2019,fhv,Entering CBD,1,Overnight,2340
06/01/2019,fhv,Within CBD,1,Peak,6719
07/01/2019,fhvhv,Leaving CBD,1,Peak,1065207
07/01/2019,fhvhv,Within CBD,1,Peak,2074552
07/01/2019,fhvhv,Entering CBD,1,Overnight,248757
07/01/2019,fhvhv,Entering CBD,2,Peak,335681
07/01/2019,fhvhv,Within CBD,1,Overnight,618876
07/01/2019,fhvhv,Leaving CBD,2,Overnight,332301
07/01/2019,fhvhv,Leaving CBD,1,Overnight,640499
07/01/2019,fhvhv,Entering CBD,1,Peak,1010373
07/01/2019,fhvhv,CBD-Null,2,Overnight,15
07/01/2019,fhvhv,Within CBD,2,Peak,617938
07/01/2019,fhvhv,Entering CBD,2,Overnight,188897
07/01/2019,fhvhv,Within CBD,2,Overnight,353100
07/01/2019,fhvhv,Leaving CBD,2,Peak,315481
07/01/2019,fhvhv,CBD-Null,2,Peak,54
07/01/2019,fhvhv,CBD-Null,1,Peak,2
07/01/2019,fhvhv,CBD-Null,1,Overnight,1
07/01/2019,yellow,Leaving CBD,2,Peak,127439
07/01/2019,yellow,Within CBD,2,Overnight,254927
07/01/2019,yellow,Entering CBD,2,Peak,123796
07/01/2019,yellow,CBD-Null,2,Peak,2000
07/01/2019,yellow,Within CBD,2,Peak,429851
07/01/2019,yellow,Leaving CBD,1,Peak,549908
07/01/2019,yellow,Within CBD,1,Peak,1756571
07/01/2019,yellow,CBD-Null,1,Overnight,2243
07/01/2019,yellow,Entering CBD,1,Peak,530130
07/01/2019,yellow,CBD-Null,1,Peak,8926
07/01/2019,yellow,CBD-Null,2,Overnight,1166
07/01/2019,yellow,Leaving CBD,2,Overnight,109557
07/01/2019,yellow,Leaving CBD,1,Overnight,242098
07/01/2019,yellow,Within CBD,1,Overnight,473774
07/01/2019,yellow,Entering CBD,1,Overnight,82592
07/01/2019,yellow,Entering CBD,2,Overnight,41557
07/01/2019,fhv,Leaving CBD,2,Overnight,1400
07/01/2019,fhv,Entering CBD,2,Peak,1898
07/01/2019,fhv,Entering CBD,1,Peak,16646
07/01/2019,green,Within CBD,1,Overnight,1
07/01/2019,fhv,Within CBD,1,Overnight,2060
07/01/2019,fhv,Leaving CBD,1,Peak,23987
07/01/2019,fhv,Entering CBD,1,Overnight,2181
07/01/2019,green,Entering CBD,1,Overnight,4529
07/01/2019,green,Entering CBD,2,Peak,5588
07/01/2019,green,CBD-Null,2,Overnight,3
07/01/2019,green,Leaving CBD,1,Peak,91
07/01/2019,green,Entering CBD,1,Peak,21788
07/01/2019,fhv,Entering CBD,2,Overnight,1071
07/01/2019,green,Within CBD,2,Peak,3
07/01/2019,green,Within CBD,1,Peak,28
07/01/2019,fhv,Within CBD,1,Peak,6826
07/01/2019,fhv,CBD-Null,2,Peak,228
07/01/2019,fhv,CBD-Null,1,Overnight,1435
07/01/2019,fhv,Leaving CBD,2,Peak,1982
07/01/2019,green,CBD-Null,1,Overnight,5
07/01/2019,fhv,Within CBD,2,Overnight,215
07/01/2019,green,CBD-Null,1,Peak,15
07/01/2019,fhv,Leaving CBD,1,Overnight,10440
07/01/2019,fhv,CBD-Null,2,Overnight,126
07/01/2019,fhv,Within CBD,2,Peak,363
07/01/2019,green,Within CBD,2,Overnight,4
07/01/2019,green,Leaving CBD,1,Overnight,3
07/01/2019,green,Leaving CBD,2,Peak,6
07/01/2019,green,Entering CBD,2,Overnight,3916
07/01/2019,green,CBD-Null,2,Peak,4
07/01/2019,fhv,CBD-Null,1,Peak,2140
08/01/2019,fhvhv,Leaving CBD,2,Overnight,373653
08/01/2019,fhvhv,Within CBD,2,Overnight,388694
08/01/2019,fhvhv,Entering CBD,1,Peak,982818
08/01/2019,fhvhv,Leaving CBD,1,Peak,1049805
08/01/2019,fhvhv,Within CBD,1,Overnight,563153
08/01/2019,fhvhv,Entering CBD,2,Peak,355214
08/01/2019,fhvhv,Leaving CBD,1,Overnight,611521
08/01/2019,fhvhv,Within CBD,2,Peak,641424
08/01/2019,fhvhv,Leaving CBD,2,Peak,343570
08/01/2019,fhvhv,CBD-Null,1,Peak,1
08/01/2019,fhvhv,Entering CBD,1,Overnight,239424
08/01/2019,fhvhv,Entering CBD,2,Overnight,217071
08/01/2019,fhvhv,Within CBD,1,Peak,1944458
08/01/2019,fhvhv,CBD-Null,2,Overnight,1
08/01/2019,yellow,Entering CBD,2,Overnight,45571
08/01/2019,yellow,CBD-Null,2,Peak,2732
08/01/2019,yellow,CBD-Null,1,Peak,10556
08/01/2019,yellow,CBD-Null,1,Overnight,2395
08/01/2019,yellow,Leaving CBD,1,Overnight,225809
08/01/2019,yellow,Leaving CBD,2,Overnight,123096
08/01/2019,yellow,Within CBD,2,Overnight,288839
08/01/2019,yellow,Within CBD,1,Peak,1643433
08/01/2019,yellow,Entering CBD,2,Peak,131586
08/01/2019,yellow,Leaving CBD,1,Peak,516133
08/01/2019,yellow,Entering CBD,1,Peak,484447
08/01/2019,yellow,Within CBD,1,Overnight,443044
08/01/2019,yellow,Within CBD,2,Peak,458940
08/01/2019,yellow,Leaving CBD,2,Peak,137587
08/01/2019,yellow,Entering CBD,1,Overnight,74367
08/01/2019,yellow,CBD-Null,2,Overnight,1534
08/01/2019,fhv,CBD-Null,1,Overnight,2583
08/01/2019,green,Entering CBD,2,Peak,5622
08/01/2019,green,Leaving CBD,1,Overnight,8
08/01/2019,fhv,Entering CBD,1,Peak,16681
08/01/2019,fhv,Within CBD,2,Peak,483
08/01/2019,fhv,CBD-Null,2,Overnight,766
08/01/2019,fhv,Leaving CBD,1,Overnight,10545
08/01/2019,green,CBD-Null,2,Overnight,4
08/01/2019,green,CBD-Null,1,Peak,28
08/01/2019,green,Entering CBD,2,Overnight,4282
08/01/2019,green,Leaving CBD,1,Peak,104
08/01/2019,green,Within CBD,1,Peak,63
08/01/2019,fhv,Entering CBD,1,Overnight,2323
08/01/2019,fhv,Entering CBD,2,Peak,1995
08/01/2019,green,Entering CBD,1,Peak,21454
08/01/2019,fhv,CBD-Null,1,Peak,5404
08/01/2019,fhv,Leaving CBD,2,Overnight,1602
08/01/2019,fhv,Within CBD,2,Overnight,299
08/01/2019,fhv,Leaving CBD,2,Peak,2160
08/01/2019,fhv,Leaving CBD,1,Peak,22886
08/01/2019,fhv,Within CBD,1,Overnight,2000
08/01/2019,green,CBD-Null,2,Peak,2
08/01/2019,fhv,Entering CBD,2,Overnight,1074
08/01/2019,green,Leaving CBD,2,Overnight,5
08/01/2019,green,Within CBD,2,Peak,9
08/01/2019,green,Within CBD,2,Overnight,3
08/01/2019,green,Leaving CBD,2,Peak,7
08/01/2019,fhv,CBD-Null,2,Peak,1049
08/01/2019,fhv,Within CBD,1,Peak,6775
08/01/2019,green,Entering CBD,1,Overnight,4616
08/01/2019,green,CBD-Null,1,Overnight,1
09/01/2019,fhvhv,CBD-Null,2,Peak,3
09/01/2019,fhvhv,Within CBD,1,Overnight,560210
09/01/2019,fhvhv,Entering CBD,2,Peak,395533
09/01/2019,fhvhv,Leaving CBD,2,Peak,392983
09/01/2019,fhvhv,Entering CBD,1,Overnight,234897
09/01/2019,fhvhv,Entering CBD,2,Overnight,238240
09/01/2019,fhvhv,Leaving CBD,1,Overnight,612751
09/01/2019,fhvhv,Within CBD,2,Overnight,451462
09/01/2019,fhvhv,CBD-Null,1,Peak,1
09/01/2019,fhvhv,Leaving CBD,2,Overnight,429243
09/01/2019,fhvhv,Leaving CBD,1,Peak,1046241
09/01/2019,fhvhv,Entering CBD,1,Peak,955490
09/01/2019,fhvhv,Within CBD,2,Peak,725816
09/01/2019,fhvhv,Within CBD,1,Peak,1867788
09/01/2019,fhvhv,CBD-Null,1,Overnight,1
09/01/2019,yellow,Entering CBD,1,Overnight,81648
09/01/2019,yellow,Entering CBD,1,Peak,496144
09/01/2019,yellow,Within CBD,2,Overnight,346639
09/01/2019,yellow,Entering CBD,2,Peak,153623
09/01/2019,yellow,CBD-Null,2,Peak,3257
09/01/2019,yellow,Leaving CBD,1,Peak,531000
09/01/2019,yellow,Leaving CBD,1,Overnight,234932
09/01/2019,yellow,CBD-Null,1,Peak,10159
09/01/2019,yellow,Leaving CBD,2,Peak,162206
09/01/2019,yellow,Within CBD,1,Peak,1615055
09/01/2019,yellow,Within CBD,1,Overnight,452536
09/01/2019,yellow,CBD-Null,1,Overnight,2319
09/01/2019,yellow,CBD-Null,2,Overnight,1716
09/01/2019,yellow,Entering CBD,2,Overnight,53916
09/01/2019,yellow,Leaving CBD,2,Overnight,144388
09/01/2019,yellow,Within CBD,2,Peak,529226
09/01/2019,fhv,Leaving CBD,2,Overnight,1848
09/01/2019,green,Leaving CBD,1,Overnight,46
09/01/2019,green,Within CBD,1,Overnight,10
09/01/2019,green,CBD-Null,1,Peak,35
09/01/2019,fhv,Within CBD,1,Overnight,1889
09/01/2019,fhv,CBD-Null,1,Peak,17500
09/01/2019,fhv,Entering CBD,1,Overnight,2250
09/01/2019,green,Within CBD,2,Peak,32
09/01/2019,green,Leaving CBD,2,Overnight,42
