Date,Mode,Count
03/01/2020,AAR,19922
03/01/2020,BT,690074
03/01/2020,Bus,984908
03/01/2020,LIRR,86790
03/01/2020,MNR,55825
03/01/2020,SIR,1636
03/01/2020,Subway,2212965
03/02/2020,AAR,30338
03/02/2020,BT,766591
03/02/2020,Bus,2209066
03/02/2020,LIRR,321569
03/02/2020,MNR,180701
03/02/2020,SIR,17140
03/02/2020,Subway,5329915
03/03/2020,AAR,32767
03/03/2020,BT,773392
03/03/2020,Bus,2228608
03/03/2020,LIRR,319727
03/03/2020,MNR,190648
03/03/2020,SIR,17453
03/03/2020,Subway,5481103
03/04/2020,AAR,34297
03/04/2020,BT,794316
03/04/2020,Bus,2177165
03/04/2020,LIRR,311662
03/04/2020,MNR,192689
03/04/2020,SIR,17136
03/04/2020,Subway,5498809
03/05/2020,AAR,33209
03/05/2020,BT,816054
03/05/2020,Bus,2244515
03/05/2020,LIRR,307597
03/05/2020,MNR,194386
03/05/2020,SIR,17203
03/05/2020,Subway,5496453
03/06/2020,AAR,30970
03/06/2020,BT,830505
03/06/2020,Bus,2066743
03/06/2020,LIRR,289171
03/06/2020,MNR,205056
03/06/2020,SIR,15285
03/06/2020,Subway,5189447
03/07/2020,AAR,18117
03/07/2020,BT,722378
03/07/2020,Bus,1249085
03/07/2020,LIRR,106058
03/07/2020,MNR,75838
03/07/2020,SIR,2445
03/07/2020,Subway,2814637
03/08/2020,AAR,19477
03/08/2020,BT,669603
03/08/2020,Bus,957163
03/08/2020,LIRR,81565
03/08/2020,MNR,60800
03/08/2020,SIR,1672
03/08/2020,Subway,2120656
03/09/2020,AAR,29609
03/09/2020,BT,754118
03/09/2020,Bus,2124770
03/09/2020,LIRR,277001
03/09/2020,MNR,183953
03/09/2020,SIR,16122
03/09/2020,Subway,4973513
03/10/2020,AAR,31315
03/10/2020,BT,747295
03/10/2020,Bus,2111989
03/10/2020,LIRR,259324
03/10/2020,MNR,179050
03/10/2020,SIR,15805
03/10/2020,Subway,4867818
